sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
3659;SDS011;1846;51.482;7.224;2022-07-12T00:00:56;1.60;;;1.50;;
3659;SDS011;1846;51.482;7.224;2022-07-12T00:03:43;2.17;;;2.03;;
3659;SDS011;1846;51.482;7.224;2022-07-12T00:06:28;2.97;;;2.77;;
3659;SDS011;1846;51.482;7.224;2022-07-12T00:09:14;2.30;;;2.10;;
3659;SDS011;1846;51.482;7.224;2022-07-12T00:12:00;2.07;;;1.97;;
3659;SDS011;1846;51.482;7.224;2022-07-12T00:14:45;2.10;;;2.00;;
3659;SDS011;1846;51.482;7.224;2022-07-12T00:17:32;2.00;;;1.90;;
3659;SDS011;1846;51.482;7.224;2022-07-12T00:20:18;2.70;;;2.50;;
3659;SDS011;1846;51.482;7.224;2022-07-12T00:23:04;2.27;;;2.07;;
3659;SDS011;1846;51.482;7.224;2022-07-12T00:25:50;2.20;;;2.10;;
3659;SDS011;1846;51.482;7.224;2022-07-12T00:28:35;2.67;;;2.53;;
3659;SDS011;1846;51.482;7.224;2022-07-12T00:31:21;3.13;;;2.83;;
3659;SDS011;1846;51.482;7.224;2022-07-12T00:34:06;2.60;;;2.40;;
3659;SDS011;1846;51.482;7.224;2022-07-12T00:36:53;2.80;;;2.70;;
3659;SDS011;1846;51.482;7.224;2022-07-12T00:39:39;2.93;;;2.70;;
3659;SDS011;1846;51.482;7.224;2022-07-12T00:42:25;3.80;;;3.50;;
3659;SDS011;1846;51.482;7.224;2022-07-12T00:45:11;4.20;;;2.37;;
3659;SDS011;1846;51.482;7.224;2022-07-12T00:47:56;3.00;;;2.57;;
3659;SDS011;1846;51.482;7.224;2022-07-12T00:50:43;2.67;;;2.47;;
3659;SDS011;1846;51.482;7.224;2022-07-12T00:53:31;2.90;;;2.70;;
3659;SDS011;1846;51.482;7.224;2022-07-12T00:56:17;2.37;;;2.27;;
3659;SDS011;1846;51.482;7.224;2022-07-12T00:59:03;2.93;;;2.70;;
3659;SDS011;1846;51.482;7.224;2022-07-12T01:01:48;2.40;;;2.30;;
3659;SDS011;1846;51.482;7.224;2022-07-12T01:04:34;2.23;;;2.13;;
3659;SDS011;1846;51.482;7.224;2022-07-12T01:07:21;2.43;;;2.27;;
3659;SDS011;1846;51.482;7.224;2022-07-12T01:10:09;3.13;;;2.83;;
3659;SDS011;1846;51.482;7.224;2022-07-12T01:12:56;2.10;;;2.00;;
3659;SDS011;1846;51.482;7.224;2022-07-12T01:15:42;2.60;;;2.40;;
3659;SDS011;1846;51.482;7.224;2022-07-12T01:18:31;2.57;;;2.47;;
3659;SDS011;1846;51.482;7.224;2022-07-12T01:21:18;2.40;;;2.20;;
3659;SDS011;1846;51.482;7.224;2022-07-12T01:24:08;2.10;;;2.00;;
3659;SDS011;1846;51.482;7.224;2022-07-12T01:26:55;2.27;;;2.17;;
3659;SDS011;1846;51.482;7.224;2022-07-12T01:29:40;3.07;;;2.87;;
3659;SDS011;1846;51.482;7.224;2022-07-12T01:32:26;2.30;;;2.20;;
3659;SDS011;1846;51.482;7.224;2022-07-12T01:35:13;2.73;;;2.50;;
3659;SDS011;1846;51.482;7.224;2022-07-12T01:37:59;2.90;;;2.80;;
3659;SDS011;1846;51.482;7.224;2022-07-12T01:40:46;2.77;;;2.57;;
3659;SDS011;1846;51.482;7.224;2022-07-12T01:43:31;2.13;;;1.93;;
3659;SDS011;1846;51.482;7.224;2022-07-12T01:46:17;2.50;;;2.40;;
3659;SDS011;1846;51.482;7.224;2022-07-12T01:49:03;2.60;;;2.50;;
3659;SDS011;1846;51.482;7.224;2022-07-12T01:51:49;3.03;;;2.60;;
3659;SDS011;1846;51.482;7.224;2022-07-12T01:54:34;2.83;;;2.47;;
3659;SDS011;1846;51.482;7.224;2022-07-12T01:57:21;3.63;;;2.73;;
3659;SDS011;1846;51.482;7.224;2022-07-12T02:00:08;3.03;;;2.93;;
3659;SDS011;1846;51.482;7.224;2022-07-12T02:02:56;2.50;;;2.40;;
3659;SDS011;1846;51.482;7.224;2022-07-12T02:05:41;3.10;;;3.00;;
3659;SDS011;1846;51.482;7.224;2022-07-12T02:08:27;2.60;;;2.50;;
3659;SDS011;1846;51.482;7.224;2022-07-12T02:11:12;3.10;;;2.80;;
3659;SDS011;1846;51.482;7.224;2022-07-12T02:13:59;2.37;;;2.27;;
3659;SDS011;1846;51.482;7.224;2022-07-12T02:16:45;3.87;;;2.87;;
3659;SDS011;1846;51.482;7.224;2022-07-12T02:19:30;2.80;;;2.70;;
3659;SDS011;1846;51.482;7.224;2022-07-12T02:22:16;9.20;;;2.10;;
