sensor_id;sensor_type;location;lat;lon;timestamp;temperature;humidity
3660;DHT22;1846;51.482;7.224;2022-11-27T00:00:43;7.60;1.00
3660;DHT22;1846;51.482;7.224;2022-11-27T00:03:10;7.50;1.00
3660;DHT22;1846;51.482;7.224;2022-11-27T00:05:38;7.60;1.00
3660;DHT22;1846;51.482;7.224;2022-11-27T00:08:05;7.50;1.00
3660;DHT22;1846;51.482;7.224;2022-11-27T00:10:31;7.40;1.00
3660;DHT22;1846;51.482;7.224;2022-11-27T00:12:58;7.50;1.00
3660;DHT22;1846;51.482;7.224;2022-11-27T00:15:25;7.40;1.00
3660;DHT22;1846;51.482;7.224;2022-11-27T00:17:52;7.30;1.00
3660;DHT22;1846;51.482;7.224;2022-11-27T00:20:18;7.40;1.00
3660;DHT22;1846;51.482;7.224;2022-11-27T00:22:46;7.30;1.00
3660;DHT22;1846;51.482;7.224;2022-11-27T00:25:13;7.30;1.00
3660;DHT22;1846;51.482;7.224;2022-11-27T00:27:40;7.20;1.00
3660;DHT22;1846;51.482;7.224;2022-11-27T00:30:07;7.20;1.00
3660;DHT22;1846;51.482;7.224;2022-11-27T00:32:34;7.10;1.00
3660;DHT22;1846;51.482;7.224;2022-11-27T00:35:01;7.10;1.00
3660;DHT22;1846;51.482;7.224;2022-11-27T00:37:28;7.10;1.00
3660;DHT22;1846;51.482;7.224;2022-11-27T00:39:56;7.00;1.00
3660;DHT22;1846;51.482;7.224;2022-11-27T00:42:22;7.00;1.00
3660;DHT22;1846;51.482;7.224;2022-11-27T00:44:49;7.10;1.00
3660;DHT22;1846;51.482;7.224;2022-11-27T00:47:16;7.00;1.00
3660;DHT22;1846;51.482;7.224;2022-11-27T00:49:43;6.90;1.00
3660;DHT22;1846;51.482;7.224;2022-11-27T00:52:11;7.10;1.00
3660;DHT22;1846;51.482;7.224;2022-11-27T00:54:37;7.00;1.00
3660;DHT22;1846;51.482;7.224;2022-11-27T00:57:06;7.00;1.00
3660;DHT22;1846;51.482;7.224;2022-11-27T00:59:32;7.00;1.00
3660;DHT22;1846;51.482;7.224;2022-11-27T01:01:59;6.90;1.00
3660;DHT22;1846;51.482;7.224;2022-11-27T01:04:26;6.80;1.00
3660;DHT22;1846;51.482;7.224;2022-11-27T01:06:52;6.90;1.00
3660;DHT22;1846;51.482;7.224;2022-11-27T01:09:19;6.90;1.00
3660;DHT22;1846;51.482;7.224;2022-11-27T01:11:46;6.90;1.00
3660;DHT22;1846;51.482;7.224;2022-11-27T01:14:16;6.90;1.00
3660;DHT22;1846;51.482;7.224;2022-11-27T01:16:42;6.80;1.00
3660;DHT22;1846;51.482;7.224;2022-11-27T01:19:11;6.80;1.00
3660;DHT22;1846;51.482;7.224;2022-11-27T01:21:38;6.70;1.00
